epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,1132.96,0.72728,0.47506,0.00062,0.98819,0.90154,0.91144,0.82275,0.63454,0.50048,0.00067,0.0011684,0.0011684,0.0011684
44,1158.99,0.70718,0.4554,0.0006,0.99168,0.90793,0.91679,0.82598,0.64823,0.47843,0.0007,0.0011486,0.0011486,0.0011486
45,1185.19,0.72905,0.45208,0.00063,0.99463,0.90623,0.91673,0.82099,0.64659,0.48664,0.00067,0.0011288,0.0011288,0.0011288
46,1211.33,0.69991,0.43204,0.00058,0.99586,0.90304,0.91815,0.82988,0.63776,0.49175,0.00068,0.001109,0.001109,0.001109
47,1237.53,0.6988,0.45872,0.0006,0.99251,0.90884,0.91952,0.81485,0.67014,0.55822,0.00071,0.0010892,0.0010892,0.0010892
48,1263.61,0.70789,0.50056,0.0006,0.99558,0.90597,0.91326,0.81832,0.64129,0.50113,0.0007,0.0010694,0.0010694,0.0010694
49,1289.78,0.73051,0.48556,0.00063,0.99144,0.9077,0.91899,0.83246,0.64235,0.46924,0.00069,0.0010496,0.0010496,0.0010496
50,1316.04,0.70514,0.49829,0.0006,0.99357,0.90828,0.91769,0.82707,0.63958,0.47304,0.00067,0.0010298,0.0010298,0.0010298
51,1342.23,0.68455,0.4622,0.00058,0.98725,0.90994,0.91834,0.83412,0.61503,0.4773,0.00066,0.00101,0.00101,0.00101
52,1368.41,0.69186,0.46265,0.00058,0.99466,0.90597,0.9199,0.83225,0.64034,0.47183,0.00068,0.0009902,0.0009902,0.0009902
53,1394.56,0.69614,0.47606,0.00058,0.99547,0.90304,0.91885,0.82255,0.65821,0.49752,0.00069,0.0009704,0.0009704,0.0009704
54,1420.69,0.67275,0.43261,0.00055,0.99531,0.90304,0.9167,0.82879,0.62753,0.4814,0.00067,0.0009506,0.0009506,0.0009506
55,1446.86,0.67757,0.46326,0.00056,0.99653,0.905,0.91995,0.84456,0.60149,0.45701,0.00064,0.0009308,0.0009308,0.0009308
56,1473.12,0.67155,0.4639,0.00056,0.99567,0.90793,0.91819,0.83874,0.60977,0.47342,0.00064,0.000911,0.000911,0.000911
57,1499.26,0.66464,0.43688,0.00056,0.99251,0.91087,0.91801,0.84414,0.59063,0.46542,0.00064,0.0008912,0.0008912,0.0008912
58,1525.41,0.64355,0.40614,0.00054,0.99602,0.905,0.91574,0.84118,0.60428,0.46152,0.00065,0.0008714,0.0008714,0.0008714
59,1552.25,0.64863,0.41154,0.00055,0.9946,0.90891,0.91813,0.84275,0.60618,0.45603,0.00063,0.0008516,0.0008516,0.0008516
60,1580.41,0.63557,0.39868,0.00054,0.99463,0.9067,0.91879,0.84534,0.60248,0.45791,0.00063,0.0008318,0.0008318,0.0008318
61,1608.09,0.63094,0.4189,0.00051,0.99291,0.91087,0.92081,0.844,0.58583,0.48954,0.00063,0.000812,0.000812,0.000812
62,1634.64,0.63702,0.41716,0.00052,0.99548,0.90695,0.91767,0.84884,0.59647,0.47366,0.00063,0.0007922,0.0007922,0.0007922
63,1660.9,0.6332,0.42765,0.00053,0.99463,0.90757,0.91991,0.84697,0.58114,0.47118,0.00059,0.0007724,0.0007724,0.0007724
64,1687.1,0.62106,0.40227,0.0005,0.99444,0.91185,0.92131,0.85275,0.58187,0.45097,0.0006,0.0007526,0.0007526,0.0007526
65,1713.34,0.61794,0.4047,0.00051,0.99427,0.90597,0.91506,0.8466,0.58473,0.46033,0.00062,0.0007328,0.0007328,0.0007328
